success,timestamp,base,date,rates
True,2023-06-16 15:05:03,EUR,2023-06-16,3.226335
True,2023-06-16 15:05:03,EUR,2023-06-16,0.660938
True,2023-06-16 15:05:03,EUR,2023-06-16,5.254575
True,2023-06-16 15:05:03,EUR,2023-06-16,10.867933
True,2023-06-16 15:05:03,EUR,2023-06-16,19.59193
True,2023-06-16 15:05:03,EUR,2023-06-16,4937.63322
True,2023-06-16 15:05:03,EUR,2023-06-16,61.43891
True,2023-06-16 15:05:03,EUR,2023-06-16,2292.642453
True,2023-06-16 15:05:03,EUR,2023-06-16,3787.943512
True,2023-06-16 15:05:03,EUR,2023-06-16,8.799361
True,2023-06-16 15:05:03,EUR,2023-06-16,390.078836
True,2023-06-16 15:05:03,EUR,2023-06-16,49.604665
True,2023-06-16 15:05:03,EUR,2023-06-16,16.777735
True,2023-06-16 15:05:03,EUR,2023-06-16,1120.593365
True,2023-06-16 15:05:03,EUR,2023-06-16,18.706245
True,2023-06-16 15:05:03,EUR,2023-06-16,5.042072
True,2023-06-16 15:05:03,EUR,2023-06-16,69.110531
True,2023-06-16 15:05:03,EUR,2023-06-16,19.908565
True,2023-06-16 15:05:03,EUR,2023-06-16,718.42464
True,2023-06-16 15:05:03,EUR,2023-06-16,39.927987
True,2023-06-16 15:05:03,EUR,2023-06-16,11.543444
True,2023-06-16 15:05:03,EUR,2023-06-16,143.018796
True,2023-06-16 15:05:03,EUR,2023-06-16,1.754673
True,2023-06-16 15:05:03,EUR,2023-06-16,0.420656
True,2023-06-16 15:05:03,EUR,2023-06-16,1.091711
True,2023-06-16 15:05:03,EUR,2023-06-16,3.975543
True,2023-06-16 15:05:03,EUR,2023-06-16,3.889064
True,2023-06-16 15:05:03,EUR,2023-06-16,60.979061
True,2023-06-16 15:05:03,EUR,2023-06-16,313.458912
True,2023-06-16 15:05:03,EUR,2023-06-16,4.463183
True,2023-06-16 15:05:03,EUR,2023-06-16,7906.125986
True,2023-06-16 15:05:03,EUR,2023-06-16,3.977826
True,2023-06-16 15:05:03,EUR,2023-06-16,4.958514
True,2023-06-16 15:05:03,EUR,2023-06-16,117.231702
True,2023-06-16 15:05:03,EUR,2023-06-16,91.755945
True,2023-06-16 15:05:03,EUR,2023-06-16,1245.817021
True,2023-06-16 15:05:03,EUR,2023-06-16,4.097581
True,2023-06-16 15:05:03,EUR,2023-06-16,9.106555
True,2023-06-16 15:05:03,EUR,2023-06-16,15.4284
True,2023-06-16 15:05:03,EUR,2023-06-16,657.236415
True,2023-06-16 15:05:03,EUR,2023-06-16,11.619378
True,2023-06-16 15:05:03,EUR,2023-06-16,1.4617200000000001
True,2023-06-16 15:05:03,EUR,2023-06-16,1.3294920000000001
True,2023-06-16 15:05:03,EUR,2023-06-16,24.606784
True,2023-06-16 15:05:03,EUR,2023-06-16,21580.002255
True,2023-06-16 15:05:03,EUR,2023-06-16,622.267547
True,2023-06-16 15:05:03,EUR,2023-06-16,41.081223
True,2023-06-16 15:05:03,EUR,2023-06-16,22615.821393
True,2023-06-16 15:05:03,EUR,2023-06-16,9.552594
True,2023-06-16 15:05:03,EUR,2023-06-16,2745.348274
True,2023-06-16 15:05:03,EUR,2023-06-16,19.829337
True,2023-06-16 15:05:03,EUR,2023-06-16,37.878153
True,2023-06-16 15:05:03,EUR,2023-06-16,11.927027
True,2023-06-16 15:05:03,EUR,2023-06-16,3.8243039999999997
True,2023-06-16 15:05:03,EUR,2023-06-16,3.360466
True,2023-06-16 15:05:03,EUR,2023-06-16,2.55431
True,2023-06-16 15:05:03,EUR,2023-06-16,25.819842
True,2023-06-16 15:05:03,EUR,2023-06-16,7.409713
True,2023-06-16 15:05:03,EUR,2023-06-16,33.492126999999996
True,2023-06-16 15:05:03,EUR,2023-06-16,2608.151388
True,2023-06-16 15:05:03,EUR,2023-06-16,40.317192
True,2023-06-16 15:05:03,EUR,2023-06-16,4018.732409
True,2023-06-16 15:05:03,EUR,2023-06-16,1.092658
